66.45.188.0/22        AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
66.59.224.0/19        AS11123       UIA, US
                      AS11841       UIA11841, US
66.85.15.0/24         AS32751       NUCLEARFALLOUT-SEA, US
                      AS14586       NUCLEARFALLOUT-CHI, US
66.85.56.0/24         AS30041       RACE, US
                      AS26637       APEIRON001, US
66.85.82.0/23         AS394621      DATAHOLDINGS-414-USA, US
                      AS394032      CD-MKE-AS1, US
66.97.160.0/23        AS396455      CMM-CMH, US
                      AS396458      CMM-ATL, US
66.117.13.0/24        AS17139       NETRANGE, US
                      AS19740       SUDJAM, US
66.128.192.0/20       AS54301       IPHASE-AS, US
                      AS10753       LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE, US
66.146.0.0/24         AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.2.0/24         AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.4.0/22         AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.5.0/24         AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.6.0/24         AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.8.0/21         AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.11.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.13.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.16.0/20        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.24.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.25.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.26.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.28.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.29.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.32.0/19        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.36.0/22        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.63.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.64.0/20        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.72.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.73.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.80.0/22        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.80.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.88.0/22        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.94.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.95.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.108.0/22       AS11123       UIA, US
                      AS11841       UIA11841, US
66.146.116.0/22       AS11123       UIA, US
                      AS11841       UIA11841, US
66.181.144.0/20       AS11123       UIA, US
                      AS11841       UIA11841, US
66.181.144.0/24       AS11123       UIA, US
                      AS11841       UIA11841, US
66.187.224.0/20       AS22360       REDHAT-2, US
                      AS22753       REDHAT-0, US
66.193.23.0/24        AS400057      UPSTATE-NIAGARA-COOP-2021, US
                      AS10753       LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE, US
66.232.240.0/21       AS11776       ATLANTICBB-JOHNSTOWN, US
                      AS27262       TVCCONNECT-AS, US
66.232.248.0/21       AS11776       ATLANTICBB-JOHNSTOWN, US
                      AS27262       TVCCONNECT-AS, US
66.254.126.0/24       AS29789       REFLECTED, US
                      AS30361       SWIFTWILL2, US
66.254.127.0/24       AS29789       REFLECTED, US
                      AS30361       SWIFTWILL2, US
67.52.34.0/24         AS7018        ATT-INTERNET4, US
                      AS398428      NMTRANS-HQ-AS01, US
67.208.80.0/21        AS29838       AMC, US
                      AS33597       ATLANTIC-METRO-COMMUNICATIONS-II-INC, US
67.212.128.0/20       AS11274       ADHOST, US
                      AS17378       AS17378, US
67.229.1.0/24         AS4213        EVOCATIVE-GLOBAL, US
                      AS35908       VPLSNET, US
